p,dr,chi,col,digit_count,even_digits,p_mod37,is_cubic_residue_mod37
2,2,-1,COL2,1,False,2,False
3,3,0,COL3,1,False,3,False
5,5,-1,COL2,1,False,5,False
7,7,1,COL1,1,False,7,False
11,2,-1,COL2,2,True,11,True
101,2,-1,COL2,3,False,27,True
131,5,-1,COL2,3,False,20,False
151,7,1,COL1,3,False,3,False
181,1,1,COL1,3,False,33,False
191,2,-1,COL2,3,False,6,True
313,7,1,COL1,3,False,17,False
353,2,-1,COL2,3,False,20,False
373,4,1,COL1,3,False,3,False
383,5,-1,COL2,3,False,13,False
727,7,1,COL1,3,False,24,False
757,1,1,COL1,3,False,17,False
787,4,1,COL1,3,False,10,True
797,5,-1,COL2,3,False,20,False
919,1,1,COL1,3,False,31,True
929,2,-1,COL2,3,False,4,False
10301,5,-1,COL2,5,False,15,False
10501,7,1,COL1,5,False,30,False
10601,8,-1,COL2,5,False,19,False
11311,7,1,COL1,5,False,26,True
11411,8,-1,COL2,5,False,15,False
12421,1,1,COL1,5,False,26,True
12721,4,1,COL1,5,False,30,False
12821,5,-1,COL2,5,False,19,False
13331,2,-1,COL2,5,False,11,True
13831,7,1,COL1,5,False,30,False
13931,8,-1,COL2,5,False,19,False
14341,4,1,COL1,5,False,22,False
14741,8,-1,COL2,5,False,15,False
15451,7,1,COL1,5,False,22,False
15551,8,-1,COL2,5,False,11,True
16061,5,-1,COL2,5,False,3,False
16361,8,-1,COL2,5,False,7,False
16561,1,1,COL1,5,False,22,False
16661,2,-1,COL2,5,False,11,True
17471,2,-1,COL2,5,False,7,False
17971,7,1,COL1,5,False,26,True
18181,1,1,COL1,5,False,14,True
18481,4,1,COL1,5,False,18,False
19391,5,-1,COL2,5,False,3,False
19891,1,1,COL1,5,False,22,False
19991,2,-1,COL2,5,False,11,True
30103,7,1,COL1,5,False,22,False
30203,8,-1,COL2,5,False,11,True
30403,1,1,COL1,5,False,26,True
30703,4,1,COL1,5,False,30,False
30803,5,-1,COL2,5,False,19,False
31013,8,-1,COL2,5,False,7,False
31513,4,1,COL1,5,False,26,True
32323,4,1,COL1,5,False,22,False
32423,5,-1,COL2,5,False,11,True
33533,8,-1,COL2,5,False,11,True
34543,1,1,COL1,5,False,22,False
34843,4,1,COL1,5,False,26,True
35053,7,1,COL1,5,False,14,True
35153,8,-1,COL2,5,False,3,False
35353,1,1,COL1,5,False,18,False
35753,5,-1,COL2,5,False,11,True
36263,2,-1,COL2,5,False,3,False
36563,5,-1,COL2,5,False,7,False
37273,4,1,COL1,5,False,14,True
37573,7,1,COL1,5,False,18,False
38083,4,1,COL1,5,False,10,True
38183,5,-1,COL2,5,False,36,True
38783,2,-1,COL2,5,False,7,False
39293,8,-1,COL2,5,False,36,True
70207,7,1,COL1,5,False,18,False
70507,1,1,COL1,5,False,22,False
70607,2,-1,COL2,5,False,11,True
71317,1,1,COL1,5,False,18,False
71917,7,1,COL1,5,False,26,True
72227,2,-1,COL2,5,False,3,False
72727,7,1,COL1,5,False,22,False
73037,2,-1,COL2,5,False,36,True
73237,4,1,COL1,5,False,14,True
73637,8,-1,COL2,5,False,7,False
74047,4,1,COL1,5,False,10,True
74747,2,-1,COL2,5,False,7,False
75557,2,-1,COL2,5,False,3,False
76367,2,-1,COL2,5,False,36,True
76667,5,-1,COL2,5,False,3,False
77377,4,1,COL1,5,False,10,True
77477,5,-1,COL2,5,False,36,True
77977,1,1,COL1,5,False,18,False
78487,7,1,COL1,5,False,10,True
78787,1,1,COL1,5,False,14,True
78887,2,-1,COL2,5,False,3,False
79397,8,-1,COL2,5,False,32,False
79697,2,-1,COL2,5,False,36,True
79997,5,-1,COL2,5,False,3,False
90709,7,1,COL1,5,False,22,False
91019,2,-1,COL2,5,False,36,True
93139,7,1,COL1,5,False,10,True
93239,8,-1,COL2,5,False,36,True
93739,4,1,COL1,5,False,18,False
94049,8,-1,COL2,5,False,32,False
94349,2,-1,COL2,5,False,36,True
94649,5,-1,COL2,5,False,3,False
94849,7,1,COL1,5,False,18,False
94949,8,-1,COL2,5,False,7,False
95959,1,1,COL1,5,False,18,False
96269,5,-1,COL2,5,False,32,False
96469,7,1,COL1,5,False,10,True
96769,1,1,COL1,5,False,14,True
97379,8,-1,COL2,5,False,32,False
97579,1,1,COL1,5,False,10,True
97879,4,1,COL1,5,False,14,True
98389,1,1,COL1,5,False,6,True
98689,4,1,COL1,5,False,10,True
