p,q,midpoint,mid_mod37,mid_dr,chi_p,chi_q,chi_mid
5,7,6,6,6,-1,1,0
11,13,12,12,3,-1,1,0
17,19,18,18,9,-1,1,0
29,31,30,30,3,-1,1,0
41,43,42,5,6,-1,1,0
59,61,60,23,6,-1,1,0
71,73,72,35,9,-1,1,0
101,103,102,28,3,-1,1,0
107,109,108,34,9,-1,1,0
137,139,138,27,3,-1,1,0
149,151,150,2,6,-1,1,0
179,181,180,32,9,-1,1,0
191,193,192,7,3,-1,1,0
197,199,198,13,9,-1,1,0
227,229,228,6,3,-1,1,0
239,241,240,18,6,-1,1,0
269,271,270,11,9,-1,1,0
281,283,282,23,3,-1,1,0
311,313,312,16,6,-1,1,0
347,349,348,15,6,-1,1,0
419,421,420,13,6,-1,1,0
431,433,432,25,9,-1,1,0
461,463,462,18,3,-1,1,0
521,523,522,4,9,-1,1,0
569,571,570,15,3,-1,1,0
599,601,600,8,6,-1,1,0
617,619,618,26,6,-1,1,0
641,643,642,13,3,-1,1,0
659,661,660,31,3,-1,1,0
809,811,810,33,9,-1,1,0
821,823,822,8,3,-1,1,0
827,829,828,14,9,-1,1,0
857,859,858,7,3,-1,1,0
881,883,882,31,9,-1,1,0
1019,1021,1020,21,3,-1,1,0
1031,1033,1032,33,6,-1,1,0
1049,1051,1050,14,6,-1,1,0
1061,1063,1062,26,9,-1,1,0
1091,1093,1092,19,3,-1,1,0
1151,1153,1152,5,9,-1,1,0
1229,1231,1230,9,6,-1,1,0
1277,1279,1278,20,9,-1,1,0
1289,1291,1290,32,3,-1,1,0
1301,1303,1302,7,6,-1,1,0
1319,1321,1320,25,6,-1,1,0
1427,1429,1428,22,6,-1,1,0
1451,1453,1452,9,3,-1,1,0
1481,1483,1482,2,6,-1,1,0
1487,1489,1488,8,3,-1,1,0
1607,1609,1608,17,6,-1,1,0
1619,1621,1620,29,9,-1,1,0
1667,1669,1668,3,3,-1,1,0
1697,1699,1698,33,6,-1,1,0
1721,1723,1722,20,3,-1,1,0
1787,1789,1788,12,6,-1,1,0
1871,1873,1872,22,9,-1,1,0
1877,1879,1878,28,6,-1,1,0
1931,1933,1932,8,6,-1,1,0
1949,1951,1950,26,6,-1,1,0
1997,1999,1998,0,9,-1,1,0
2027,2029,2028,30,3,-1,1,0
2081,2083,2082,10,3,-1,1,0
2087,2089,2088,16,9,-1,1,0
2111,2113,2112,3,6,-1,1,0
2129,2131,2130,21,6,-1,1,0
2141,2143,2142,33,9,-1,1,0
2237,2239,2238,18,6,-1,1,0
2267,2269,2268,11,9,-1,1,0
2309,2311,2310,16,6,-1,1,0
2339,2341,2340,9,9,-1,1,0
2381,2383,2382,14,6,-1,1,0
2549,2551,2550,34,3,-1,1,0
2591,2593,2592,2,9,-1,1,0
2657,2659,2658,31,3,-1,1,0
2687,2689,2688,24,6,-1,1,0
2711,2713,2712,11,3,-1,1,0
2729,2731,2730,29,3,-1,1,0
2789,2791,2790,15,9,-1,1,0
2801,2803,2802,27,3,-1,1,0
2969,2971,2970,10,9,-1,1,0
2999,3001,3000,3,3,-1,1,0
3119,3121,3120,12,6,-1,1,0
3167,3169,3168,23,9,-1,1,0
3251,3253,3252,33,3,-1,1,0
3257,3259,3258,2,9,-1,1,0
3299,3301,3300,7,6,-1,1,0
3329,3331,3330,0,9,-1,1,0
3359,3361,3360,30,3,-1,1,0
3371,3373,3372,5,6,-1,1,0
3389,3391,3390,23,6,-1,1,0
3461,3463,3462,21,6,-1,1,0
3467,3469,3468,27,3,-1,1,0
3527,3529,3528,13,9,-1,1,0
3539,3541,3540,25,3,-1,1,0
3557,3559,3558,6,3,-1,1,0
3581,3583,3582,30,9,-1,1,0
3671,3673,3672,9,9,-1,1,0
3767,3769,3768,31,6,-1,1,0
3821,3823,3822,11,6,-1,1,0
3851,3853,3852,4,9,-1,1,0
3917,3919,3918,33,3,-1,1,0
3929,3931,3930,8,6,-1,1,0
4001,4003,4002,6,6,-1,1,0
4019,4021,4020,24,6,-1,1,0
4049,4051,4050,17,9,-1,1,0
4091,4093,4092,22,6,-1,1,0
4127,4129,4128,21,6,-1,1,0
4157,4159,4158,14,9,-1,1,0
4217,4219,4218,0,6,-1,1,0
4229,4231,4230,12,9,-1,1,0
4241,4243,4242,24,3,-1,1,0
4259,4261,4260,5,3,-1,1,0
4271,4273,4272,17,6,-1,1,0
4337,4339,4338,9,9,-1,1,0
4421,4423,4422,19,3,-1,1,0
4481,4483,4482,5,9,-1,1,0
4517,4519,4518,4,9,-1,1,0
4547,4549,4548,34,3,-1,1,0
4637,4639,4638,13,3,-1,1,0
4649,4651,4650,25,6,-1,1,0
4721,4723,4722,23,6,-1,1,0
4787,4789,4788,15,9,-1,1,0
4799,4801,4800,27,3,-1,1,0
4931,4933,4932,11,9,-1,1,0
4967,4969,4968,10,9,-1,1,0
5009,5011,5010,15,6,-1,1,0
5021,5023,5022,27,9,-1,1,0
5099,5101,5100,31,6,-1,1,0
5231,5233,5232,15,3,-1,1,0
5279,5281,5280,26,6,-1,1,0
5417,5419,5418,16,9,-1,1,0
5441,5443,5442,3,6,-1,1,0
5477,5479,5478,2,6,-1,1,0
5501,5503,5502,26,3,-1,1,0
5519,5521,5520,7,3,-1,1,0
5639,5641,5640,16,6,-1,1,0
5651,5653,5652,28,9,-1,1,0
5657,5659,5658,34,6,-1,1,0
5741,5743,5742,7,9,-1,1,0
5849,5851,5850,4,9,-1,1,0
5867,5869,5868,22,9,-1,1,0
5879,5881,5880,34,3,-1,1,0
6089,6091,6090,22,6,-1,1,0
6131,6133,6132,27,3,-1,1,0
6197,6199,6198,19,6,-1,1,0
6269,6271,6270,17,6,-1,1,0
6299,6301,6300,10,9,-1,1,0
6359,6361,6360,33,6,-1,1,0
6449,6451,6450,12,6,-1,1,0
6551,6553,6552,3,9,-1,1,0
6569,6571,6570,21,9,-1,1,0
6659,6661,6660,0,9,-1,1,0
6689,6691,6690,30,3,-1,1,0
6701,6703,6702,5,6,-1,1,0
6761,6763,6762,28,3,-1,1,0
6779,6781,6780,9,3,-1,1,0
6791,6793,6792,21,6,-1,1,0
6827,6829,6828,20,6,-1,1,0
6869,6871,6870,25,3,-1,1,0
6947,6949,6948,29,9,-1,1,0
6959,6961,6960,4,3,-1,1,0
7127,7129,7128,24,9,-1,1,0
7211,7213,7212,34,3,-1,1,0
7307,7309,7308,19,9,-1,1,0
7331,7333,7332,6,6,-1,1,0
7349,7351,7350,24,6,-1,1,0
7457,7459,7458,21,6,-1,1,0
7487,7489,7488,14,9,-1,1,0
7547,7549,7548,0,6,-1,1,0
7559,7561,7560,12,9,-1,1,0
7589,7591,7590,5,3,-1,1,0
7757,7759,7758,25,9,-1,1,0
7877,7879,7878,34,3,-1,1,0
7949,7951,7950,32,3,-1,1,0
8009,8011,8010,18,9,-1,1,0
8087,8089,8088,22,6,-1,1,0
8219,8221,8220,6,3,-1,1,0
8231,8233,8232,18,6,-1,1,0
8291,8293,8292,4,3,-1,1,0
8387,8389,8388,26,9,-1,1,0
8429,8431,8430,31,6,-1,1,0
8537,8539,8538,28,6,-1,1,0
8597,8599,8598,14,3,-1,1,0
8627,8629,8628,7,6,-1,1,0
8819,8821,8820,14,9,-1,1,0
8837,8839,8838,32,9,-1,1,0
8861,8863,8862,19,6,-1,1,0
8969,8971,8970,16,6,-1,1,0
8999,9001,9000,9,9,-1,1,0
9011,9013,9012,21,3,-1,1,0
9041,9043,9042,14,6,-1,1,0
9239,9241,9240,27,6,-1,1,0
9281,9283,9282,32,3,-1,1,0
9341,9343,9342,18,9,-1,1,0
9419,9421,9420,22,6,-1,1,0
9431,9433,9432,34,9,-1,1,0
9437,9439,9438,3,6,-1,1,0
9461,9463,9462,27,3,-1,1,0
9629,9631,9630,10,9,-1,1,0
9677,9679,9678,21,3,-1,1,0
9719,9721,9720,26,9,-1,1,0
9767,9769,9768,0,3,-1,1,0
9857,9859,9858,16,3,-1,1,0
9929,9931,9930,14,3,-1,1,0
10007,10009,10008,18,9,-1,1,0
10037,10039,10038,11,3,-1,1,0
10067,10069,10068,4,6,-1,1,0
10091,10093,10092,28,3,-1,1,0
10139,10141,10140,2,6,-1,1,0
10271,10273,10272,23,3,-1,1,0
10301,10303,10302,16,6,-1,1,0
10331,10333,10332,9,9,-1,1,0
10427,10429,10428,31,6,-1,1,0
10457,10459,10458,24,9,-1,1,0
10499,10501,10500,29,6,-1,1,0
10529,10531,10530,22,9,-1,1,0
10709,10711,10710,17,9,-1,1,0
10859,10861,10860,19,6,-1,1,0
10889,10891,10890,12,9,-1,1,0
10937,10939,10938,23,3,-1,1,0
11057,11059,11058,32,6,-1,1,0
11069,11071,11070,7,9,-1,1,0
11117,11119,11118,18,3,-1,1,0
11159,11161,11160,23,9,-1,1,0
11171,11173,11172,35,3,-1,1,0
11351,11353,11352,30,3,-1,1,0
11489,11491,11490,20,6,-1,1,0
11549,11551,11550,6,3,-1,1,0
11699,11701,11700,8,9,-1,1,0
11717,11719,11718,26,9,-1,1,0
11777,11779,11778,12,6,-1,1,0
